"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
"949426","6756","2586","N","FRONTIER SOLUTIONS, LLC","8-66972","136102","NEW YORK","New York","United States","N"
"949426","49924","24282","N","FRONTIER SOLUTIONS, LLC","8-66972","136102","NEW YORK","New York","United States","N"
"949426","66780","33867","N","FRONTIER SOLUTIONS, LLC","8-66972","136102","NEW YORK","New York","United States","N"
"949426","66780","39682","N","OAKPOINT SOLUTIONS, LLC","8-69477","171775","TAMPA","Florida","United States","N"
"949426","6756","39681","N","OAKPOINT SOLUTIONS, LLC","8-69477","171775","TAMPA","Florida","United States","N"
"949426","49924","39684","N","OAKPOINT SOLUTIONS, LLC","8-69477","171775","TAMPA","Florida","United States","N"
"949426","6756","4067","N","WEISS MULTI-STRATEGY FUNDS LLC","8-66414","130991","NEW YORK","New York","United States","N"
"949537","5939","2376","N","AMD CAPITAL, LLC","8-65422","121539","LINCOLNSHIRE","Illinois","United States","N"
"949563","69581","61374","N","FBR CAPITAL MARKETS & CO.","8-41426","25027","ARLINGTON","Virginia","United States","N"
"949563","61991","51614","N","M2O PRIVATE FUND ADVISORS LLC","8-68917","158741","WHITE PLAINS","New York","United States","N"
"949563","69587","61375","N","FBR CAPITAL MARKETS & CO.","8-41426","25027","ARLINGTON","Virginia","United States","N"
"949574","59226","35304","N","ALPHASOURCE CAPITAL SECURITIES LLC","8-67759","145875","NEW YORK","New York","United States","N"
"949574","59226","31299","Y","FINTRUST BROKERAGE SERVICES, LLC","8-49514","41608","GREENVILLE","South Carolina","United States","N"
"934543","52559","30780","Y","NLCG DISTRIBUTORS, LLC","8-68781","156263","DENVER","Colorado","United States","N"
"943823","43953","61361","Y","EDGEMOOR PARTNERS LLC","8-69407","170062","SAN FRANCISCO","California","United States","N"
"945057","67774","34855","N","CITIGROUP GLOBAL MARKETS INC.","801-3387","7059","NEW YORK","New York","United States","N"
"945057","67773","34853","N","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","N"
"945057","68642","34862","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"945057","68752","34901","Y","COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.","8-25845","840","BOSTON","Massachusetts","United States","N"
"945057","67807","34613","Y","COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.","8-25845","840","BOSTON","Massachusetts","United States","N"
"945057","67809","34614","Y","COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.","8-25845","840","BOSTON","Massachusetts","United States","N"
"945057","67785","34599","Y","COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.","8-25845","840","BOSTON","Massachusetts","United States","N"
"945057","67773","34594","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"945057","18118","6531","N","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","N"
"945057","48312","23185","N","CITIGROUP GLOBAL MARKETS INC.","801-3387","7059","NEW YORK","New York","United States","N"
"945057","48311","23184","Y","COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.","8-25845","840","BOSTON","Massachusetts","United States","N"
"945057","18128","6556","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"945057","13046","4781","Y","COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.","8-25845","840","BOSTON","Massachusetts","United States","N"
"945057","15349","5519","N","MORGAN STANLEY & CO. INTERNATIONAL","","","LONDON","","United Kingdom","N"
"945057","15339","5516","N","WELLS FARGO SECURITIES, LLC","8-65876","126292","CHARLOTTE","North Carolina","United States","N"
"945057","15349","5518","N","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","N"
"945057","15360","5521","N","CITIGROUP GLOBAL MARKETS INC.","801-3387","7059","NEW YORK","New York","United States","N"
"945057","15334","5514","N","MORGAN STANLEY & CO. INTERNATIONAL","","","LONDON","","United Kingdom","N"
"945057","15334","5513","N","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","N"
"945057","15042","5423","N","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","N"
"945057","8317","3196","Y","COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.","8-25845","840","BOSTON","Massachusetts","United States","N"
"945057","8287","3163","Y","COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.","8-25845","840","BOSTON","Massachusetts","United States","N"
"945057","8280","3149","Y","COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.","8-25845","840","BOSTON","Massachusetts","United States","N"
"945057","7864","3032","N","UBS SECURITIES LLC","801-67178","7654","STAMFORD","Connecticut","United States","N"
"945057","14540","5311","N","UBS SECURITIES LLC","801-67178","7654","STAMFORD","Connecticut","United States","N"
"945057","14523","5308","N","CITIGROUP GLOBAL MARKETS INC.","801-3387","7059","NEW YOUK","New York","United States","N"
"945057","14505","5302","N","CITIGROUP GLOBAL MARKETS INC.","801-3387","7059","NEW YORK","New York","United States","N"
"945057","58148","29071","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"945057","58147","29070","N","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","N"
"945057","58146","29069","N","CITIGROUP GLOBAL MARKETS INC.","801-3387","7059","NEW YORK","New York","United States","N"
"945057","58150","29076","Y","COLUMBIA MANAGEMENT INVESTMENT DISTRIBUTORS, INC.","8-25845","840","BOSTON","Massachusetts","United States","N"
"945057","18118","6532","N","MORGAN STANLEY & CO. INTERNATIONAL","","","LONDON","","United Kingdom","N"
"949760","5132","34603","N","CHARLES SCHWAB & CO., INC.","801-29938","5393","SAN FRANCISCO","California","United States","N"
"949760","5132","34602","N","BARCLAYS CAPITAL INC.","801-69700","19714","NEW YORK","New York","United States","N"
"949760","5132","34601","N","AT INVESTMENT ADVISERS, INC.","801-57986","109644","CHICAGO","Illinois","United States","N"
"949760","5132","34600","N","STIFEL, NICOLAUS & COMPANY, INCORPORATED","801-10746","793","ST. LOUIS","Missouri","United States","N"
"949760","5132","2255","N","MORGAN STANLEY","801-70103","149777","PURCHASE","New York","United States","N"
"949760","5138","2244","N","OPPENHEIMER & CO. INC.","801-887","249","NEW YORK","New York","United States","N"
"949760","5132","2502","N","FIFTH THIRD BANK, N.A.","","","CINCINNATI","Ohio","United States","N"
"949760","5138","2501","N","FIFTH THIRD BANK, N.A.","","","CINCINNATI","Ohio","United States","N"
"949760","5138","2500","N","SUNTRUST BANK N.A.","","","ATLANTA","Georgia","United States","N"
"949760","5132","2503","N","SUNTRUST BANK N.A.","","","ATLANTA","Georgia","United States","N"
"949760","5132","2278","N","JANNEY MONTGOMERY SCOTT LLC","801-7258","463","PHILADELPHIA","Pennsylvania","United States","N"
"949760","5132","34604","N","AMERIPRISE FINANCIAL SERVICES, INC.","801-28543","6363","MINNEAPOLIS","Minnesota","United States","N"
"949760","5132","2276","N","NORTHERN TRUST SECURITIES, INC","801-80781","7927","CHICAGO","Illinois","United States","N"
"949760","5132","2275","N","SUNTRUST INVESTMENT SERVICES, INC.","801-56443","17499","ATLANTA","Georgia","United States","N"
"949760","5132","2274","N","ROBERT W. BAIRD & CO. INCORPORATED","801-7571","8158","MILWAUKEE","Wisconsin","United States","N"
"949760","5132","2273","N","OPPENHEIMER & CO. INC.","801-887","249","NEW YORK","New York","United States","N"
"949760","5132","2272","N","RAYMOND JAMES FINANCIAL SERVICES, INC.","8-17983","6694","ST. PETERSBURG","Florida","United States","N"
"949760","5132","2271","N","RAYMOND JAMES & ASSOCIATES, INC.","801-10418","705","ST. PETERSBURG","Florida","United States","N"
"949760","5132","2270","N","RBC CAPITAL MARKETS, LLC","801-13059","31194","NEW YORK","New York","United States","N"
"949760","5132","2269","N","UBS FINANCIAL SERVICES INC.","801-7163","8174","WEEHAWKEN","New Jersey","United States","N"
"949760","5132","2268","N","COMERICA SECURITIES","801-64897","17079","DETROIT","Michigan","United States","N"
"949760","5132","2266","N","LPL FINANCIAL LLC","801-10970","6413","BOSTON","Massachusetts","United States","N"
"949760","5132","2265","N","DEUTSCHE BANK SECURITIES INC.","801-9638","2525","NEW YORK","New York","United States","N"
"949760","5132","2264","N","CREDIT SUISSE SECURITIES (USA) LLC","801-56264","816","NEW YORK","New York","United States","N"
"949760","5132","2262","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"949760","5132","2261","N","WELLS FARGO ADVISORS, LLC","801-37967","19616","ST. LOUIS","Missouri","United States","N"
"949760","5132","2260","N","WELLS FARGO ADVISORS FINANCIAL NETWORK, LLC","801-57434","11025","ST. LOUIS","Missouri","United States","N"
"949760","5132","2259","N","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235","7691","NEW YORK","New York","United States","N"
"949760","5138","2249","N","JANNEY MONTGOMERY SCOTT LLC","801-7258","463","PHILADELPHIA","Pennsylvania","United States","N"
"949760","5138","2246","N","SUNTRUST INVESTMENT SERVICES, INC.","801-56443","17499","ATLANTA","Georgia","United States","N"
"949760","5138","2247","N","NORTHERN TRUST SECURITIES, INC","801-80781","7927","CHICAGO","Illinois","United States","N"
"949760","5138","2245","N","ROBERT W. BAIRD & CO. INCORPORATED","801-7571","8158","MILWAUKEE","Wisconsin","United States","N"
"949760","5138","2243","N","RAYMOND JAMES FINANCIAL SERVICES, INC.","8-17983","6694","ST. PETERSBURG","Florida","United States","N"
"949760","5138","2242","N","RAYMOND JAMES & ASSOCIATES, INC.","801-10418","705","ST. PETERSBURG","Florida","United States","N"
"949760","5138","2241","N","RBC CAPITAL MARKETS, LLC","801-13059","31194","NEW YORK","New York","United States","N"
"949760","5138","2240","N","UBS FINANCIAL SERVICES INC.","801-7163","8174","WEEHAWKEN","New Jersey","United States","N"
"949760","5138","2239","N","COMERICA SECURITIES","801-64897","17079","DETROIT","Michigan","United States","N"
"949760","5138","2237","N","LPL FINANCIAL LLC","801-10970","6413","BOSTON","Massachusetts","United States","N"
"949760","5138","2234","N","DEUTSCHE BANK SECURITIES INC.","801-9638","2525","NEW YORK","New York","United States","N"
"949760","5138","2231","N","CREDIT SUISSE SECURITIES (USA) LLC","801-56264","816","NEW YORK","New York","United States","N"
"949760","5138","2229","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","N"
"949760","5138","2228","N","WELLS FARGO ADVISORS, LLC","801-37967","19616","ST. LOUIS","Missouri","United States","N"
"949760","5138","2227","N","WELLS FARGO ADVISORS FINANCIAL NETWORK, LLC","801-57434","11025","ST. LOUIS","Missouri","United States","N"
"949760","5138","2226","N","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235","7691","NEW YORK","New York","United States","N"
"949760","5138","2224","N","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","N"
"949760","5138","2222","N","MORGAN STANLEY","801-70103","149777","PURCHASE","New York","United States","N"
"949760","5107","2178","N","UBS FINANCIAL SERVICES INC.","801-7163","8174","WEEHAWKEN","New Jersey","United States","N"
"949760","5107","2177","N","OPPENHEIMER & CO. INC.","801-887","249","NEW YORK","New York","United States","N"
"949760","5107","2219","N","WELLS FARGO ADVISORS, LLC","801-37967","19616","ST. LOUIS","Missouri","United States","N"
"949760","5107","2218","N","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235","7691","NEW YORK","New York","United States","N"
"949760","5132","2256","N","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","N"
"949760","5138","34611","N","SANFORD C. BERNSTEIN & CO., LLC","801-57937","104474","NEW YORK","New York","United States","N"
"949760","5138","34610","N","AMERIPRISE FINANCIAL SERVICES, INC.","801-28543","6363","MINNEAPOLIS","Minnesota","United States","N"
"949760","5138","34609","N","CHARLES SCHWAB & CO., INC.","801-29938","5393","SAN FRANCISCO","California","United States","N"
"949760","5138","34608","N","BARCLAYS CAPITAL INC.","801-69700","19714","NEW YORK","New York","United States","N"
"949760","5138","34607","N","AT INVESTMENT ADVISERS, INC.","801-57986","109644","CHICAGO","Illinois","United States","N"
"949760","5138","34606","N","STIFEL, NICOLAUS & COMPANY, INCORPORATED","801-10746","793","ST. LOUIS","Missouri","United States","N"
"949760","5132","34605","N","SANFORD C. BERNSTEIN & CO., LLC","801-57937","104474","NEW YORK","New York","United States","N"
"946731","6129","42995","N","PARRY INTERNATIONAL TRADING LIMITED","","","CENTRAL HONG KONG SAR","","China","N"
"946731","6129","42997","N","ASIA ALTERNATIVE ASSET PARTNERS LIMITED","","","HONG KONG","","Hong kong","N"
"948827","2351","1926","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","4320","1893","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2897","1932","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2830","1892","N","HIGHLAND INFORMATION SERVICES, INC.","8-42215","25873","BIRMINGHAM","Alabama","United States","N"
"948827","2825","1929","N","VFIC SECURITIES, INC.","8-52158","103160","KING OF PRUSSIA","Pennsylvania","United States","N"
"948827","2825","1928","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2893","1348","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2894","1347","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2905","1346","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2904","1345","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2842","1344","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2846","1343","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2892","1342","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2891","1341","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2858","1340","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2852","1339","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2834","1338","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2836","1337","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2895","1336","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2896","1335","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","51832","25349","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2907","2155","N","FIRST ALBANY CAPITAL INC.","","298","NEW YORK","New York","United States","N"
"948827","2903","1927","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2897","1334","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2830","1333","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2828","1332","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2827","1331","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2826","1330","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2825","1329","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2903","1328","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2351","1257","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2898","1327","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948827","2828","1998","N","HIGHLAND STRATEGIES, LLC","","","BIRMINGHAM","Alabama","United States","N"
"948827","2827","1997","N","HIGHLAND STRATEGIES, LLC","","","BIRMINGHAM","Alabama","United States","N"
"948827","2894","1941","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2905","1940","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2846","1939","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2892","1938","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2858","1937","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2852","1936","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2836","1935","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2895","1934","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2896","1933","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2828","1931","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948827","2826","1930","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3442","1635","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3441","1634","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3439","1631","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3438","1630","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3437","1629","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3436","1628","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3441","1981","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3434","1624","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3432","1623","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3436","2000","N","HIGHLAND STRATEGIES, LLC","","","BIRMINGHAM","Alabama","United States","N"
"948832","3444","1985","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3451","1984","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3442","1983","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","62104","31608","N","M HOLDINGS SECURITIES, INC.","801-57304","43285","PORTLAND","Oregon","United States","N"
"948832","62094","31596","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3448","1980","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","62104","31601","Y","GRANT WILLIAMS L.P.","","45961","PHILADELPHIA","Pennsylvania","United States","N"
"948832","3443","1979","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3450","1978","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3439","1976","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3434","1974","N","VFIC SECURITIES, INC.","8-52158","103160","KING OF PRUSSIA","Pennsylvania","United States","N"
"948832","3434","1971","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3432","1969","N","HIGHLAND INFORMATION SERVICES, INC.","8-42215","25873","BIRMINGHAM","Alabama","United States","N"
"948832","3432","1968","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3436","1962","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3437","1961","N","CMS INVESTMENT RESOURCES (CANADA), INC.","","","TORONTO, ONTARIO","","Canada","N"
"948832","3460","1649","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3459","1648","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3458","1647","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3455","1646","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3452","1644","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3451","1643","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3450","1642","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3449","1641","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3448","1640","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3446","1639","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3445","1638","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3444","1637","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"948832","3443","1636","Y","CMS INVESTMENT RESOURCES, LLC","8-26417","10102","WYNNEWOOD","Pennsylvania","United States","N"
"949019","68473","34831","N","HARKEN CAPITAL SECURITIES, LLC","8-69077","163749","SCITUATE","Massachusetts","United States","N"
"949019","68469","34830","N","HARKEN CAPITAL SECURITIES, LLC","8-69077","163749","SCITUATE","Massachusetts","United States","N"
"940969","45591","22196","N","ARM CAPITAL LIMITED","","","ST. HELIER","","Jersey","N"
"940969","45591","22195","N","COBURN GROUP, LLC","8-65402","121308","CHICAGO","Illinois","United States","N"
"940969","6943","2656","N","ARM CAPITAL LIMITED","","","ST. HELIER","","Jersey","N"
"940969","6943","2655","N","COBURN GROUP, LLC","8-65402","121308","CHICAGO","Illinois","United States","N"
"940969","70146","36621","N","FOCUSPOINT PRIVATE CAPITAL GROUP","8-65488","122341","NEW YORK","New York","United States","N"
"940969","70126","36620","N","TRUMP SECURITIES, LLC","","","NEW YORK","New York","United States","N"
"949631","75516","42953","N","RAPTOR INTERNATIONAL, LLC","","","ABU DHABI","","United Arab Emirates","N"
"949631","75515","42954","N","RAPTOR INTERNATIONAL, LLC","","","ABU DHABI","","United Arab Emirates","N"
"949909","166929","61253","N","FIRST LIBERTIES FINANCIAL","8-30673","14432","NEW YORK","New York","United States","N"
"949909","5268","38033","N","FIRST LIBERTIES FINANCIAL","8-30673","14432","NEW YORK","New York","United States","N"
"949913","166929","61253","N","FIRST LIBERTIES FINANCIAL","8-30673","14432","NEW YORK","New York","United States","N"
"949913","5268","38033","N","FIRST LIBERTIES FINANCIAL","8-30673","14432","NEW YORK","New York","United States","N"
"948047","167162","61300","N","BREAKWATER ADVISORY PTY LIMITED","","","SYDNEY","","Australia","N"
"948047","167162","61299","N","EMINENCE GLOBAL ASSET MANAGEMENT PTY LTD","","","SYDNEY","","Australia","N"
"948047","163161","58958","N","NN INVESTMENT PARTNERS B.V.","","","THE HAGUE","","Netherlands","N"
"948047","23846","31541","N","NN INVESTMENT PARTNERS B.V.","","","THE HAGUE","","Netherlands","N"
"948047","23846","35465","N","EMINENCE GLOBAL ASSET MANAGEMENT PTY LTD.","","","SYDNEY","","Australia","N"
"948047","23846","35466","N","BREAKWATER ADVISORY PTY LIMITED","","","SYDNEY","","Australia","N"
"948047","167162","61298","N","NN INVESTMENT PARTNERS B.V.","","","THE HAGUE","","Netherlands","N"
"947813","62429","31925","N","GREENHILL & CO., LLC","8-49000","40290","CHICAGO","Illinois","United States","N"
"947813","62439","35033","N","MOELIS & COMPANY LLC","8-67705","145115","NEW YORK","New York","United States","N"
"947813","62429","35034","N","MOELIS & COMPANY LLC","8-67705","145115","NEW YORK","New York","United States","N"
"947813","62439","31929","N","GREENHILL & CO., LLC","8-49000","40290","CHICAGO","Illinois","United States","N"
"942810","53896","27172","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","53895","27165","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","53894","27166","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","63745","32586","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","48042","29343","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","48011","23120","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","48007","23119","N","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","65325","33352","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","65324","33351","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","48073","23142","Y","BLACKROCK INVESTMENTS, LLC","","","NEW YORK","New York","United States","N"
"942810","48071","23140","N","MORGAN STANLEY SAUDI ARABIA","","","LONDON","","United Kingdom","N"
"942810","48071","23139","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","48073","23141","N","MORGAN STANLEY SAUDI ARABIA","","","LONDON","","United Kingdom","N"
"942810","48068","24944","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","18274","24920","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
"942810","18272","24919","Y","BLACKROCK INVESTMENTS, LLC","8-48436","38642","NEW YORK","New York","United States","N"
